id,type,additional information,relativ position,location,location number,location abreviation,idlocation abreviation
PO,position offset,-7m,24.400 km,Saas,49225,SAAS,POSAAS
B,main signal,,24.520 km,Saas,49225,SAAS,BSAAS
W1,turnout engine,,24.526 km,Saas,49225,SAAS,W1SAAS
BG 08105 - 1,balise,track 2,24.565 km,Saas,49225,SAAS,BG 08105 - 1SAAS
BG 08105 - 2,balise,track 2,24.565 km,Saas,49225,SAAS,BG 08105 - 2SAAS
BG 08104 - 1,balise,track 1,24.568 km,Saas,49225,SAAS,BG 08104 - 1SAAS
BG 08104 - 2,balise,track 1,24.568 km,Saas,49225,SAAS,BG 08104 - 2SAAS
Saas,train station,,24.609 km,Saas,49225,SAAS,SaasSAAS
C**1,distant signal,track 1,24.702 km,Saas,49225,SAAS,C**1SAAS
C**2,distant signal,track 2,24.702 km,Saas,49225,SAAS,C**2SAAS
BG 08107 - 1,balise,track 2,24.789 km,Saas,49225,SAAS,BG 08107 - 1SAAS
BG 08107 - 2,balise,track 2,24.789 km,Saas,49225,SAAS,BG 08107 - 2SAAS
BG 08106 - 1,balise,track 1,24.789 km,Saas,49225,SAAS,BG 08106 - 1SAAS
BG 08106 - 2,balise,track 1,24.789 km,Saas,49225,SAAS,BG 08106 - 2SAAS
C,main signal,,24.830 km,Saas,49225,SAAS,CSAAS
W3,turnout engine,,24.832 km,Saas,49225,SAAS,W3SAAS
D,main signal,,25.108 km,Saas,49225,SAAS,DSAAS
B*,distant signal,,25.108 km,Saas,49225,SAAS,B*SAAS
BG 08108 - 1,balise,,25.113 km,Saas,49225,SAAS,BG 08108 - 1SAAS
BG 08108 - 2,balise,,25.113 km,Saas,49225,SAAS,BG 08108 - 2SAAS
BG 08110 - 1,balise,,25.528 km,Serneus,49228,SERN,BG 08110 - 1SERN
BG 08110 - 2,balise,,25.528 km,Serneus,49228,SERN,BG 08110 - 2SERN
P*,distant signal,,25.532 km,Serneus,49228,SERN,P*SERN
D*,distant signal,,25.572 km,Saas,49225,SAAS,D*SAAS
BG 08109 - 1,balise,,25.576 km,Saas,49225,SAAS,BG 08109 - 1SAAS
BG 08109 - 2,balise,,25.576 km,Saas,49225,SAAS,BG 08109 - 2SAAS
BG 08111 - 1,balise,,25.967 km,Serneus,49228,SERN,BG 08111 - 1SERN
BG 08111 - 2,balise,,25.967 km,Serneus,49228,SERN,BG 08111 - 2SERN
P,main signal,,25.971 km,Serneus,49228,SERN,PSERN
Q,main signal,,26.022 km,Serneus,49228,SERN,QSERN
BG 08112 - 1,balise,,26.026 km,Serneus,49228,SERN,BG 08112 - 1SERN
BG 08112 - 2,balise,,26.026 km,Serneus,49228,SERN,BG 08112 - 2SERN
Q*,distant signal,,26.421 km,Serneus,49228,SERN,Q*SERN
BG 08113 - 1,balise,,26.425 km,Serneus,49228,SERN,BG 08113 - 1SERN
BG 08113 - 2,balise,,26.425 km,Serneus,49228,SERN,BG 08113 - 2SERN
BG 08114 - 1,balise,,26.641 km,Serneus,49228,SERN,BG 08114 - 1SERN
BG 08114 - 2,balise,,26.641 km,Serneus,49228,SERN,BG 08114 - 2SERN
A*,distant signal,,26.646 km,Serneus,49228,SERN,A*SERN
PO,position offset,-2m,26.937 km,Serneus,49228,SERN,POSERN
BG 08115 - 1,balise,,27.126 km,Serneus,49228,SERN,BG 08115 - 1SERN
BG 08115 - 2,balise,,27.126 km,Serneus,49228,SERN,BG 08115 - 2SERN
A,main signal,,27.130 km,Serneus,49228,SERN,ASERN
C*,distant signal,,27.130 km,Serneus,49228,SERN,C*SERN
W1,turnout engine,,27.340 km,Serneus,49228,SERN,W1SERN
BUe 27.38 - 1,railway crossing,track 1,,,,,BUe 27.38 - 1
BUe 27.38 - 2,railway crossing,track 2,,,,,BUe 27.38 - 2
B1,main signal,track 1,27.453 km,Serneus,49228,SERN,B1SERN
B2,main signal,track 2,27.453 km,Serneus,49228,SERN,B2SERN
BG 08116 - 1,balise,track 1,27.457 km,Serneus,49228,SERN,BG 08116 - 1SERN
BG 08116 - 2,balise,track 1,27.457 km,Serneus,49228,SERN,BG 08116 - 2SERN
BG 08117 - 1,balise,track 2,27.457 km,Serneus,49228,SERN,BG 08117 - 1SERN
BG 08117 - 2,balise,track 2,27.457 km,Serneus,49228,SERN,BG 08117 - 2SERN
BG 08118 - 1,balise,track 1,27.732 km,Serneus,49228,SERN,BG 08118 - 1SERN
BG 08118 - 2,balise,track 1,27.732 km,Serneus,49228,SERN,BG 08118 - 2SERN
BG 08119 - 1,balise,track 2,27.732 km,Serneus,49228,SERN,BG 08119 - 1SERN
BG 08119 - 2,balise,track 2,27.732 km,Serneus,49228,SERN,BG 08119 - 2SERN
C1,main signal,track 1,27.736 km,Serneus,49228,SERN,C1SERN
C2,main signal,track 2,27.736 km,Serneus,49228,SERN,C2SERN
W3,turnout engine,,27.829 km,Serneus,49228,SERN,W3SERN
BUe 27.84,railway crossing,Serneuserstrasse,27.840 km,Serneus,49228,SERN,BUe 27.84SERN
D,main signal,,28.160 km,Serneus,49228,SERN,DSERN
B*,distant signal,,28.160 km,Serneus,49228,SERN,B*SERN
BG 08120 - 1,balise,,28.165 km,Serneus,49228,SERN,BG 08120 - 1SERN
BG 08120 - 2,balise,,28.165 km,Serneus,49228,SERN,BG 08120 - 2SERN
D*,distant signal,,28.573 km,Serneus,49228,SERN,D*SERN
BG 08121 - 1,balise,,28.577 km,Serneus,49228,SERN,BG 08121 - 1SERN
BG 08121 - 2,balise,,28.577 km,Serneus,49228,SERN,BG 08121 - 2SERN
BG 08122 - 1,balise,,28.790 km,Serneus,49228,SERN,BG 08122 - 1SERN
BG 08122 - 2,balise,,28.790 km,Serneus,49228,SERN,BG 08122 - 2SERN
F*,distant signal,,28.794 km,Serneus,49228,SERN,F*SERN
E,main signal,track 2,28.903 km,Serneus,49228,SERN,ESERN
PO,position offset,-8m,29.000 km,Serneus,49228,SERN,POSERN
W5,turnout engine,,29.011 km,Serneus,49228,SERN,W5SERN
BG 08123 - 1,balise,,29.196 km,Serneus,49228,SERN,BG 08123 - 1SERN
BG 08123 - 2,balise,,29.196 km,Serneus,49228,SERN,BG 08123 - 2SERN
F,main signal,,29.200 km,Serneus,49228,SERN,FSERN
G,main signal,,29.346 km,Serneus,49228,SERN,GSERN
BG 08124 - 1,balise,,29.350 km,Serneus,49228,SERN,BG 08124 - 1SERN
BG 08124 - 2,balise,,29.350 km,Serneus,49228,SERN,BG 08124 - 2SERN
G*,distant signal,,29.679 km,Serneus,49228,SERN,G*SERN
BG 08125 - 1,balise,,29.683 km,Serneus,49228,SERN,BG 08125 - 1SERN
BG 08125 - 2,balise,,29.683 km,Serneus,49228,SERN,BG 08125 - 2SERN
BG 08126 - 1,balise,,29.809 km,Klosters Dorf,49231,KLOD,BG 08126 - 1KLOD
BG 08126 - 2,balise,,29.809 km,Klosters Dorf,49231,KLOD,BG 08126 - 2KLOD
A*,distant signal,,29.813 km,Klosters Dorf,49231,KLOD,A*KLOD
BG 08127 - 1,balise,,30.383 km,Klosters Dorf,49231,KLOD,BG 08127 - 1KLOD
BG 08127 - 2,balise,,30.383 km,Klosters Dorf,49231,KLOD,BG 08127 - 2KLOD
A,main signal,,30.388 km,Klosters Dorf,49231,KLOD,AKLOD
C*,distant signal,,30.388 km,Klosters Dorf,49231,KLOD,C*KLOD
W1,turnout engine,,30.522 km,Klosters Dorf,49231,KLOD,W1KLOD
BUe 30.53,railway crossing,,30.534 km,Klosters Dorf,49231,KLOD,BUe 30.53KLOD
B,main signal,track 1 & 2,30.544 km,Klosters Dorf,49231,KLOD,BKLOD
BG 08128 - 1,balise,track 1,30.572 km,Klosters Dorf,49231,KLOD,BG 08128 - 1KLOD
BG 08128 - 2,balise,track 1,30.572 km,Klosters Dorf,49231,KLOD,BG 08128 - 2KLOD
BG 08129 - 1,balise,track 2,30.573 km,Klosters Dorf,49231,KLOD,BG 08129 - 1KLOD
BG 08129 - 2,balise,track 2,30.573 km,Klosters Dorf,49231,KLOD,BG 08129 - 2KLOD
W2,turnout engine,track 1,30.634 km,Klosters Dorf,49231,KLOD,W2KLOD
Klosters Dorf,train station,,30.672 km,Klosters Dorf,49231,KLOD,Klosters DorfKLOD
BUe 30.73 - 1,railway crossing,track 1,,,,,BUe 30.73 - 1
BUe 30.73 - 2,railway crossing,track 2,,,,,BUe 30.73 - 2
C**1,distant signal,track 1,30.744 km,Klosters Dorf,49231,KLOD,C**1KLOD
C**2,distant signal,track 2,30.744 km,Klosters Dorf,49231,KLOD,C**2KLOD
BG 08130 - 1,balise,track 1,30.782 km,Klosters Dorf,49231,KLOD,BG 08130 - 1KLOD
BG 08130 - 2,balise,track 1,30.782 km,Klosters Dorf,49231,KLOD,BG 08130 - 2KLOD
BG 08131 - 1,balise,track 2,30.782 km,Klosters Dorf,49231,KLOD,BG 08131 - 1KLOD
BG 08131 - 2,balise,track 2,30.782 km,Klosters Dorf,49231,KLOD,BG 08131 - 2KLOD
C,main signal,track 1 & 2,30.819 km,Klosters Dorf,49231,KLOD,CKLOD
A*,distant signal,track 1 & 2,30.819 km,Klosters Dorf,49231,KLOD,A*KLOD
W3,turnout engine,,30.837 km,Klosters Dorf,49231,KLOD,W3KLOD
BUe 30.84,railway crossing,Silvapinaweg,30.840 km,Klosters Dorf,49231,KLOD,BUe 30.84KLOD
D,main signal,,31.074 km,Klosters Dorf,49231,KLOD,DKLOD
B*,distant signal,,31.074 km,Klosters Dorf,49231,KLOD,B*KLOD
BG 08132 - 1,balise,,31.079 km,Klosters Dorf,49231,KLOD,BG 08132 - 1KLOD
BG 08132 - 2,balise,,31.079 km,Klosters Dorf,49231,KLOD,BG 08132 - 2KLOD
BG 08133 - 1,balise,,31.174 km,Klosters,49232,KLO,BG 08133 - 1KLO
BG 08133 - 2,balise,,31.174 km,Klosters,49232,KLO,BG 08133 - 2KLO
A,main signal,,31.179 km,Klosters,49232,KLO,AKLO
BUe 31.22,railway crossing,Gaeuggeliweg,31.227 km,Klosters,49232,KLO,BUe 31.22KLO
W11,turnout engine,,31.231 km,Klosters,49232,KLO,W11KLO
F11,main signal,track 11,31.439 km,Klosters,49232,KLO,F11KLO
D*11,distant signal,track 11,31.439 km,Klosters,49232,KLO,D*11KLO
F13,main signal,track 13,31.439 km,Klosters,49232,KLO,F13KLO
D*13,distant signal,track 13,31.439 km,Klosters,49232,KLO,D*13KLO
BG 08134 - 1,balise,track 11,31.444 km,Klosters,49232,KLO,BG 08134 - 1KLO
BG 08134 - 2,balise,track 11,31.444 km,Klosters,49232,KLO,BG 08134 - 2KLO
BG 08135 - 1,balise,track 13,31.444 km,Klosters,49232,KLO,BG 08135 - 1KLO
BG 08135 - 2,balise,track 13,31.444 km,Klosters,49232,KLO,BG 08135 - 2KLO
BG 08136 - 1,balise,track 11,31.754 km,Klosters,49232,KLO,BG 08136 - 1KLO
BG 08136 - 2,balise,track 11,31.754 km,Klosters,49232,KLO,BG 08136 - 2KLO
BG 08137 - 1,balise,track 13,31.754 km,Klosters,49232,KLO,BG 08137 - 1KLO
BG 08137 - 2,balise,track 13,31.754 km,Klosters,49232,KLO,BG 08137 - 2KLO
G*11,distant signal,track 11,31.758 km,Klosters,49232,KLO,G*11KLO
G*13,distant signal,track 13,31.758 km,Klosters,49232,KLO,G*13KLO
F*11,distant signal,track 11,31.889 km,Klosters,49232,KLO,F*11KLO
F*13,distant signal,track 13,31.889 km,Klosters,49232,KLO,F*13KLO
BG 08138 - 1,balise,track 11,31.894 km,Klosters,49232,KLO,BG 08138 - 1KLO
BG 08138 - 2,balise,track 11,31.894 km,Klosters,49232,KLO,BG 08138 - 2KLO
BG 08139 - 1,balise,track 13,31.894 km,Klosters,49232,KLO,BG 08139 - 1KLO
BG 08139 - 2,balise,track 13,31.894 km,Klosters,49232,KLO,BG 08139 - 2KLO
BG 08140 - 1,balise,track 11,32.150 km,Klosters,49232,KLO,BG 08140 - 1KLO
BG 08140 - 2,balise,track 11,32.150 km,Klosters,49232,KLO,BG 08140 - 2KLO
BG 08141 - 1,balise,track 13,32.150 km,Klosters,49232,KLO,BG 08141 - 1KLO
BG 08141 - 2,balise,track 13,32.150 km,Klosters,49232,KLO,BG 08141 - 2KLO
G11,main signal,track 11,32.154 km,Klosters,49232,KLO,G11KLO
C*11,distant signal,track 11,32.154 km,Klosters,49232,KLO,C*11KLO
G13,main signal,track 13,32.154 km,Klosters,49232,KLO,G13KLO
C*13,distant signal,track 13,32.154 km,Klosters,49232,KLO,C*13KLO
W12,turnout engine,track 11,32.168 km,Klosters,49232,KLO,W12KLO
W14,turnout engine,track 13,32.182 km,Klosters,49232,KLO,W14KLO
W15,turnout engine,track 3,32.223 km,Klosters,49232,KLO,W15KLO
W13,turnout engine,track 2,32.253 km,Klosters,49232,KLO,W13KLO
B21,main signal,track 1,32.283 km,Klosters,49232,KLO,B21KLO
B32,main signal,track 2,32.283 km,Klosters,49232,KLO,B32KLO
B33,main signal,track 3,32.283 km,Klosters,49232,KLO,B33KLO
B24,main signal,track 4,32.285 km,Klosters,49232,KLO,B24KLO
BG 08142 - 1,balise,track 1,32.288 km,Klosters,49232,KLO,BG 08142 - 1KLO
BG 08142 - 2,balise,track 1,32.288 km,Klosters,49232,KLO,BG 08142 - 2KLO
BG 08143 - 1,balise,track 2,32.288 km,Klosters,49232,KLO,BG 08143 - 1KLO
BG 08143 - 2,balise,track 2,32.288 km,Klosters,49232,KLO,BG 08143 - 2KLO
BG 08144 - 1,balise,track 3,32.288 km,Klosters,49232,KLO,BG 08144 - 1KLO
BG 08144 - 2,balise,track 3,32.288 km,Klosters,49232,KLO,BG 08144 - 2KLO
BG 08145 - 1,balise,track 4,32.290 km,Klosters,49232,KLO,BG 08145 - 1KLO
BG 08145 - 2,balise,track 4,32.290 km,Klosters,49232,KLO,BG 08145 - 2KLO
W7,turnout engine,track 1,32.350 km,Klosters,49232,KLO,W7KLO
W8,turnout engine,track 4,32.374 km,Klosters,49232,KLO,W8KLO
Klosters Platz,train station,,32.455 km,Klosters,49232,KLO,Klosters PlatzKLO
BG 08154,balise,track 1,32.548 km,Klosters,49232,KLO,BG 08154KLO
BG 08155,balise,track 2,32.549 km,Klosters,49232,KLO,BG 08155KLO
BG 08148 - 1,balise,track 3,32.575 km,Klosters,49232,KLO,BG 08148 - 1KLO
BG 08148 - 2,balise,track 3,32.575 km,Klosters,49232,KLO,BG 08148 - 2KLO
BG 08149 - 1,balise,track 4,32.575 km,Klosters,49232,KLO,BG 08149 - 1KLO
BG 08149 - 2,balise,track 4,32.575 km,Klosters,49232,KLO,BG 08149 - 2KLO
BG 08146 - 1,balise,track 1,32.576 km,Klosters,49232,KLO,BG 08146 - 1KLO
BG 08146 - 2,balise,track 1,32.576 km,Klosters,49232,KLO,BG 08146 - 2KLO
BG 08147 - 1,balise,track 2,32.576 km,Klosters,49232,KLO,BG 08147 - 1KLO
BG 08147 - 2,balise,track 2,32.576 km,Klosters,49232,KLO,BG 08147 - 2KLO
C3,main signal,track 3,32.580 km,Klosters,49232,KLO,C3KLO
C4,main signal,track 4,32.580 km,Klosters,49232,KLO,C4KLO
C2,main signal,track 2,32.581 km,Klosters,49232,KLO,C2KLO
C1,main signal,track 1,32.583 km,Klosters,49232,KLO,C1KLO
W16,turnout engine,track 41,32.630 km,Klosters,49232,KLO,W16KLO
W17,turnout engine,track 43,32.630 km,Klosters,49232,KLO,W17KLO
W18,turnout engine,track 41,32.630 km,Klosters,49232,KLO,W18KLO
W20,turnout engine,track 43,32.630 km,Klosters,49232,KLO,W20KLO
W21,turnout engine,track 41,32.698 km,Klosters,49232,KLO,W21KLO
W19,turnout engine,track 43,32.698 km,Klosters,49232,KLO,W19KLO
BG 08021 - 1,balise,track 41,32.704 km,Klosters,49232,KLO,BG 08021 - 1KLO
BG 08021 - 2,balise,track 41,32.704 km,Klosters,49232,KLO,BG 08021 - 2KLO
Zugwald-Tunnel - 1,tunnel portal,track 41,32.798 km,Klosters,49232,KLO,Zugwald-Tunnel - 1KLO
Klosters-Tunnel - 1,tunnel portal,track 43,32.798 km,Klosters,49232,KLO,Klosters-Tunnel - 1KLO
E,main signal,track 41,33.062 km,Klosters,49232,KLO,EKLO
B*,distant signal,track 41,33.062 km,Klosters,49232,KLO,B*KLO
BG 08151 - 1,balise,track 41,33.067 km,Klosters,49232,KLO,BG 08151 - 1KLO
BG 08151 - 2,balise,track 41,33.067 km,Klosters,49232,KLO,BG 08151 - 2KLO
PO,position offset,+148m,,,,,PO
Klosters-Tunnel - 2,tunnel portal,track 43,33.110 km,Klosters,49232,KLO,Klosters-Tunnel - 2KLO
D,main signal,track 43,33.207 km,Klosters,49232,KLO,DKLO
B*,distant signal,track 43,33.207 km,Klosters,49232,KLO,B*KLO
BG 08150 - 1,balise,track 43,33.212 km,Klosters,49232,KLO,BG 08150 - 1KLO
BG 08150 - 2,balise,track 43,33.212 km,Klosters,49232,KLO,BG 08150 - 2KLO
D*,distant signal,track 43,33.459 km,Klosters,49232,KLO,D*KLO
BG 08152 - 1,balise,track 43,33.464 km,Klosters,49232,KLO,BG 08152 - 1KLO
BG 08152 - 2,balise,track 43,33.464 km,Klosters,49232,KLO,BG 08152 - 2KLO
E*,distant signal,track 41,33.513 km,Klosters,49232,KLO,E*KLO
BG 08153 - 1,balise,track 41,33.517 km,Klosters,49232,KLO,BG 08153 - 1KLO
BG 08153 - 2,balise,track 41,33.517 km,Klosters,49232,KLO,BG 08153 - 2KLO
